epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4202,1.37133,3.49741,1.30767,0.7287,0.25225,0.28089,0.20079,1.02647,2.25407,1.0029,7.9931e-05,7.9931e-05,7.9931e-05
2,44.7174,1.06934,1.39528,1.10337,0.79416,0.55988,0.63856,0.47231,1.08981,1.00342,1.11118,0.000159934,0.000159934,0.000159934
3,65.5909,0.98518,0.97644,1.07158,0.8267,0.84266,0.90587,0.71525,0.89368,0.66375,1.01953,0.000238595,0.000238595,0.000238595
4,85.3142,0.94958,0.80522,1.06085,0.89569,0.85646,0.92787,0.73207,0.86184,0.65033,1.04272,0.000237961,0.000237961,0.000237961
5,105.988,0.90604,0.71804,1.04326,0.91276,0.89193,0.94489,0.76813,0.81095,0.53524,0.98656,0.000235948,0.000235948,0.000235948
6,125.73,0.87649,0.66916,1.03177,0.87828,0.91332,0.95121,0.76746,0.80824,0.48894,0.99881,0.000233935,0.000233935,0.000233935
7,146.204,0.87553,0.63514,1.03067,0.86687,0.92782,0.9655,0.79671,0.76942,0.46948,0.95811,0.000231922,0.000231922,0.000231922
8,167.075,0.85677,0.58934,1.02077,0.9271,0.9177,0.96404,0.77117,0.93008,0.50793,1.04984,0.000229909,0.000229909,0.000229909
9,186.494,0.83524,0.58057,1.01961,0.93851,0.924,0.95818,0.78738,0.75757,0.44638,0.9655,0.000227896,0.000227896,0.000227896
10,207.011,0.81449,0.55345,1.00611,0.91973,0.9251,0.95115,0.77808,0.80779,0.45429,0.99581,0.000225883,0.000225883,0.000225883
11,226.504,0.81544,0.54144,1.00543,0.88397,0.97671,0.9756,0.80105,0.82688,0.42797,0.99538,0.00022387,0.00022387,0.00022387
12,247.239,0.80959,0.526,0.99931,0.89273,0.96407,0.97207,0.78911,0.8107,0.42538,0.9902,0.000221857,0.000221857,0.000221857
13,266.897,0.78907,0.51264,0.99567,0.93645,0.93892,0.96353,0.79567,0.79995,0.43456,0.9914,0.000219844,0.000219844,0.000219844
14,286.364,0.79355,0.50533,0.99851,0.94573,0.91458,0.96307,0.80034,0.74674,0.41404,0.96071,0.000217831,0.000217831,0.000217831
15,306.906,0.78724,0.50298,0.99408,0.96273,0.90224,0.96275,0.79301,0.76689,0.40955,0.9674,0.000215818,0.000215818,0.000215818
16,326.212,0.7705,0.48238,0.98461,0.87963,0.93246,0.95235,0.79281,0.74557,0.42794,0.97009,0.000213805,0.000213805,0.000213805
17,346.126,0.75812,0.47036,0.98383,0.96152,0.86174,0.94595,0.78103,0.75988,0.42098,0.97651,0.000211792,0.000211792,0.000211792
18,367.28,0.75232,0.46611,0.97596,0.94631,0.92187,0.97324,0.80299,0.75655,0.3979,0.98253,0.000209779,0.000209779,0.000209779
19,386.499,0.74715,0.45032,0.98057,0.95138,0.90563,0.94911,0.7911,0.71652,0.38538,0.94419,0.000207766,0.000207766,0.000207766
20,407.04,0.74252,0.45483,0.9709,0.85327,0.94513,0.95981,0.77922,0.84665,0.41325,1.00341,0.000205753,0.000205753,0.000205753
21,426.344,0.7295,0.44829,0.96792,0.92156,0.90188,0.95097,0.78991,0.74818,0.41019,0.9777,0.00020374,0.00020374,0.00020374
22,446.635,0.729,0.44853,0.96577,0.92982,0.93074,0.96707,0.78892,0.78364,0.40678,0.9683,0.000201727,0.000201727,0.000201727
23,466.264,0.72229,0.43813,0.96404,0.93352,0.89849,0.95367,0.79129,0.73572,0.40082,0.96505,0.000199714,0.000199714,0.000199714
24,485.631,0.70125,0.42229,0.95926,0.95193,0.89111,0.96197,0.7891,0.75142,0.40641,0.94442,0.000197701,0.000197701,0.000197701
25,506.141,0.70897,0.42578,0.96004,0.93076,0.89176,0.95127,0.76886,0.79992,0.40104,0.95937,0.000195688,0.000195688,0.000195688
26,525.55,0.70098,0.41874,0.95434,0.88333,0.93754,0.96221,0.80333,0.71773,0.38168,0.93544,0.000193675,0.000193675,0.000193675
27,545.433,0.68443,0.41196,0.95114,0.90503,0.95223,0.96638,0.79769,0.75382,0.3793,0.96015,0.000191662,0.000191662,0.000191662
